rank,score,team,org,finish_time
137,0.911043,anant.saxena.chy24,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-04 19:08:51+05:30
138,0.911,Sourav,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 23:52:20+05:30
139,0.910814,f20221315,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 12:42:03+05:30
140,0.910514,correct.rabbit.rxmm,"Faculty of Management Studies (FMS), University of Delhi, New Delhi",2026-07-04 12:31:26+05:30
141,0.910271,criminal.marlin.nzdb,"Management Development Institute (MDI), Gurgaon",2026-07-03 16:35:04+05:30
142,0.909371,aindrilasaha17,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 20:29:04+05:30
143,0.9086,Aura Monster,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 13:47:05+05:30
144,0.908529,Scholars,"Indian Institute of Management (IIM), Bangalore",2026-07-04 02:03:06+05:30
145,0.908514,human.weasel.nzev,"Faculty of Management Studies (FMS), University of Delhi, New Delhi",2026-07-03 11:06:46+05:30
146,0.908443,Capital Corp,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 15:24:16+05:30
147,0.908414,CureCrafters,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 13:47:14+05:30
148,0.908343,iiml01,"Indian Institute of Management (IIM), Lucknow",2026-07-04 03:02:22+05:30
149,0.9083,DarthVader,"Indian Institute of Technology (IIT), Kharagpur",2026-07-01 22:49:23+05:30
150,0.908214,The Luminati,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 15:12:02+05:30
151,0.907971,agricultural.meadowlark.rsdz,"Faculty of Management Studies (FMS), University of Delhi, New Delhi",2026-07-03 10:32:05+05:30
152,0.9078,officefun23,Xavier School of Management (XLRI),2026-07-04 01:31:43+05:30
153,0.907729,b25019,"Xavier School of Management (XLRI), Jamshedpur",2026-07-03 02:24:18+05:30
154,0.907443,Aayushukey,"Indian Institute of Technology (IIT), Hyderabad",2026-07-03 12:14:41+05:30
155,0.907371,DYNamic,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 01:04:33+05:30
156,0.907286,TouchWall,"Indian Institute of Technology (IIT), Roorkee",2026-07-03 14:00:37+05:30
157,0.907271,notgonnahappenhfk,"Indian Institute of Technology (IIT), Delhi",2026-07-04 13:33:49+05:30
158,0.907243,XLspeed,"Xavier School of Management (XLRI), Jamshedpur",2026-07-03 11:29:50+05:30
159,0.907171,ACUTE,"Indian Institute of Management (IIM), Mumbai",2026-07-03 14:52:58+05:30
160,0.906729,HitTeam,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-02 12:12:01+05:30
161,0.906671,Team 3.4 Errors,"Indian Institute of Management (IIM), Lucknow",2026-07-04 02:57:39+05:30
162,0.906571,distinctive.cow.ukrl,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 10:02:49+05:30
163,0.906414,priyanshuk23,"Indian Institute of Technology (IIT), Kanpur",2026-07-02 23:45:58+05:30
164,0.9064,singh.bhavnoor.4854,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 18:36:45+05:30
165,0.9062,abc_123,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 18:03:43+05:30
166,0.906186,24je0395,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-06-30 02:48:54+05:30
166,0.906186,ThatManiac,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-06-30 03:18:05+05:30
167,0.906086,Team DK1,"Indian Institute of Management (IIM), Bangalore",2026-07-02 17:19:01+05:30
168,0.906057,japan2030,"Birla Institute of Technology & Science, Pilani Campus",2026-06-30 17:17:23+05:30
169,0.906029,MasterCard,"Birla Institute of Technology & Science, Pilani Campus",2026-07-02 23:09:09+05:30
170,0.9059,omt25,"Indian Institute of Management (IIM), Bangalore",2026-07-03 15:42:16+05:30
171,0.905786,Team DK,"Indian Institute of Management (IIM), Bangalore",2026-07-02 16:25:05+05:30
172,0.905771,StoneWalls,"Indian Institute of Management (IIM), Bangalore",2026-07-01 17:22:28+05:30
173,0.905671,CampusFury,"Indian Institute of Management (IIM), Bangalore",2026-06-30 18:58:34+05:30
174,0.9055,Albatross,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-02 04:37:13+05:30
175,0.905414,Alpha41,"Indian Institute of Management (IIM), Lucknow",2026-07-01 05:11:18+05:30
175,0.905414,pgp41106,"Indian Institute of Management (IIM), Lucknow",2026-07-01 20:34:51+05:30
176,0.905386,aadarsh.student.civ22,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-02 01:57:19+05:30
177,0.905329,23ishansekhar10d,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 18:27:38+05:30
178,0.904971,Hum bhi bana lenge!!!,"Indian Institute of Technology (IIT), Kanpur",2026-06-30 14:03:58+05:30
179,0.904957,Grinders,"Indian Institute of Technology (IIT), Bombay",2026-07-02 00:36:29+05:30
180,0.904686,b25426,"Xavier School of Management (XLRI), Delhi",2026-06-30 17:59:58+05:30
181,0.904229,Gap4,"Indian Institute of Management (IIM), Mumbai",2026-07-04 00:02:15+05:30
182,0.904186,pgp41060,"Indian Institute of Management (IIM), Lucknow",2026-07-02 00:06:08+05:30
183,0.903786,harshithowtotrainadragon,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 20:59:49+05:30
184,0.903743,shruti.singh.civ23,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-04 14:54:05+05:30
185,0.903714,ishan70707,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 06:23:39+05:30
186,0.9035,goldank384,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 17:56:06+05:30
187,0.903486,namitmehta25106,"Indian Institute of Technology (IIT), Mandi",2026-07-04 17:40:19+05:30
188,0.903386,Team Beta,"Indian Institute of Management (IIM), Lucknow",2026-07-04 16:12:26+05:30
189,0.903186,nitishchess1000,"Xavier School of Management (XLRI), Delhi",2026-07-03 23:19:51+05:30
190,0.903114,UnVerified,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 19:11:09+05:30
191,0.903043,test,"Indian Institute of Management (IIM), Mumbai",2026-07-03 18:56:53+05:30
192,0.902729,AMexicans,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-06-30 12:55:15+05:30
192,0.902729,Amex,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 18:56:06+05:30
193,0.902629,Random,"Indian Institute of Management (IIM), Indore",2026-07-04 13:11:56+05:30
194,0.9026,BAN,"Indian Institute of Management (IIM), Indore",2026-07-04 12:46:27+05:30
195,0.902486,Elevate,"Xavier School of Management (XLRI), Jamshedpur",2026-06-30 13:43:30+05:30
196,0.902443,vivacious.aardwolf.hofq,"Indian Institute of Technology (IIT), Delhi",2026-07-03 08:46:11+05:30
197,0.902314,global.roundworm.oxia,"Indian Institute of Technology (IIT), Roorkee",2026-07-03 08:03:31+05:30
198,0.902186,AMEXcellence,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-01 03:22:03+05:30
199,0.901971,nams99329,"Indian Institute of Management (IIM), Bangalore",2026-07-03 17:06:56+05:30
200,0.901914,Null Exceed 2.0,"Indian Institute of Management (IIM), Indore",2026-07-03 15:18:18+05:30
201,0.901771,delightful.scallop.tqjx,"Indian Institute of Technology (IIT), Indore",2026-07-03 05:04:04+05:30
202,0.901643,BruteForce,"Indian Institute of Management (IIM), Calcutta",2026-07-01 21:55:42+05:30
203,0.901586,p25sunitk,"Indian Institute of Management (IIM), Indore",2026-07-03 01:15:56+05:30
204,0.901557,Falcon,"Indian Institute of Management (IIM), Mumbai",2026-07-04 15:54:59+05:30
205,0.901543,amanjuneja,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 15:42:56+05:30
206,0.9015,woben,"Indian Institute of Technology (IIT), Madras",2026-07-01 03:07:52+05:30
207,0.901443,pushkary24,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 06:14:40+05:30
208,0.9014,ripAXX,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 22:52:49+05:30
208,0.9014,Goddu,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 16:46:29+05:30
209,0.901371,ConsultWarrior,"Indian Institute of Technology (IIT), Delhi",2026-07-02 02:23:48+05:30
210,0.901357,hall_5_baddies,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 02:26:12+05:30
211,0.901343,grind_is_on,"Indian Institute of Technology (IIT), Kharagpur",2026-07-01 16:04:41+05:30
212,0.901271,rajatk24,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 06:16:25+05:30
213,0.901029,anant.shah,"Indian Institute of Technology (IIT), Kharagpur",2026-06-30 12:44:29+05:30
213,0.901029,critical,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-06-30 13:05:37+05:30
214,0.900986,arjundewan2007,"Indian Institute of Technology (IIT), Hyderabad",2026-07-02 23:21:22+05:30
215,0.900843,STA24,"Indian Institute of Technology (IIT), Kanpur",2026-07-02 08:01:54+05:30
216,0.900771,hehe,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-06-30 20:58:42+05:30
217,0.900757,lalit_y,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 14:58:24+05:30
218,0.900714,StratHawks,"Management Development Institute (MDI), Gurgaon",2026-07-04 03:34:45+05:30
219,0.900671,-Propery-ty-,"Indian Institute of Management (IIM), Kozhikode",2026-07-03 03:06:43+05:30
220,0.900371,unknown_game,"Birla Institute of Technology & Science, Pilani Campus",2026-06-30 17:09:08+05:30
221,0.900171,goaldigger.casecomp,"Indian Institute of Management (IIM), Ahmedabad",2026-07-04 19:32:41+05:30
222,0.900143,philosophical.shrew.isco,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 00:47:36+05:30
223,0.900129,parthd24,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 19:30:49+05:30
224,0.900043,Conjuster,"Indian Institute of Technology (IIT), Delhi",2026-07-02 02:38:08+05:30
225,0.899829,Blaster,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-02 19:16:17+05:30
225,0.899829,vishesh_k,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 13:31:28+05:30
226,0.899614,TikiTaka,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 19:55:30+05:30
227,0.899371,am1240506,"Indian Institute of Technology (IIT), Delhi",2026-07-02 01:34:36+05:30
228,0.899114,bluestats,"Xavier School of Management (XLRI), Delhi",2026-06-30 17:33:45+05:30
229,0.898657,somya_j,"Indian Institute of Technology (IIT), Roorkee",2026-07-02 15:13:52+05:30
230,0.898571,namanagg04,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 04:58:51+05:30
231,0.898529,Walter,"Indian Institute of Management (IIM), Lucknow",2026-07-01 02:01:45+05:30
232,0.898471,Centurion Strategy,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 21:47:48+05:30
233,0.898371,Prem,"Indian Institute of Technology (IIT), Kanpur",2026-07-02 22:26:57+05:30
234,0.898357,inadequate.planarian.bofi,"Indian Institute of Management (IIM), Mumbai",2026-07-03 00:17:46+05:30
235,0.898229,nehaakhandelwall,"Xavier School of Management (XLRI), Jamshedpur",2026-07-04 18:32:16+05:30
236,0.898214,harshita.chawla25,"Indian Institute of Management (IIM), Bangalore",2026-07-04 13:25:23+05:30
237,0.898157,KhemuGirnar,"Indian Institute of Technology (IIT), Delhi",2026-07-02 02:04:35+05:30
238,0.898043,amexteam,"Madras School of Economics (MSE), Chennai",2026-07-03 14:49:30+05:30
239,0.897986,Team MARVEL (official),"Indian Institute of Management (IIM), Bangalore",2026-07-03 14:59:05+05:30
240,0.897971,kishangupta185,"Indian Institute of Technology (IIT), Hyderabad",2026-07-03 11:43:03+05:30
241,0.897843,akarshjass,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 02:04:15+05:30
242,0.897343,Delve,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 00:47:12+05:30
243,0.897057,p25riya,"Indian Institute of Management (IIM), Indore",2026-06-28 01:54:59+05:30
244,0.896957,muday23,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 15:21:31+05:30
245,0.896943,vedangm2028,"Indian Institute of Management (IIM), Calcutta",2026-07-03 02:26:24+05:30
